年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,5,火,みかん,40100,1295993,249
2021,1,5,火,はっさく,41321,50468,203
2021,1,5,火,りんご計,42000,809411,321
2021,1,5,火,日本なし計,43000,1530,312
2021,1,5,火,かき計,43500,37985,359
2021,1,5,火,おうとう,44800,19,103737
2021,1,5,火,ぶどう計,45000,9138,1314
2021,1,5,火,いちご,46100,1397086,1670
2021,1,5,火,メロン計,47000,30866,1137
2021,1,5,火,すいか,48100,3990,333
2021,1,5,火,キウイフルツ,49300,10679,540
2021,1,5,火,バナナ,50100,763871,162
2021,1,5,火,パイナップル,50300,135719,152
2021,1,5,火,レモン,50400,39111,344
2021,1,5,火,オレンジ,50600,31811,242
2021,1,5,火,輸入キウイ,50800,36672,514
2021,1,5,火,輸入メロン,50850,2835,258
2021,1,6,水,みかん,40100,253453,220
2021,1,6,水,はっさく,41321,640,211
2021,1,6,水,りんご計,42000,216881,317
2021,1,6,水,日本なし計,43000,3490,416
2021,1,6,水,かき計,43500,31165,404
2021,1,6,水,おうとう,44800,0,…
2021,1,6,水,ぶどう計,45000,1706,1261
2021,1,6,水,いちご,46100,134232,1583
2021,1,6,水,メロン計,47000,15704,1087
2021,1,6,水,すいか,48100,2338,463
2021,1,6,水,キウイフルツ,49300,10439,561
2021,1,6,水,バナナ,50100,295433,146
2021,1,6,水,パイナップル,50300,51684,152
2021,1,6,水,レモン,50400,18093,327
2021,1,6,水,オレンジ,50600,17386,240
2021,1,6,水,輸入キウイ,50800,16786,438
2021,1,6,水,輸入メロン,50850,5437,256
2021,1,7,木,みかん,40100,1498570,245
2021,1,7,木,はっさく,41321,49497,226
2021,1,7,木,りんご計,42000,748666,306
2021,1,7,木,日本なし計,43000,180,413
2021,1,7,木,かき計,43500,46884,423
2021,1,7,木,ぶどう計,45000,12568,1978
2021,1,7,木,いちご,46100,433760,1463
2021,1,7,木,メロン計,47000,26185,1072
2021,1,7,木,すいか,48100,9241,306
2021,1,7,木,キウイフルツ,49300,11400,559
2021,1,7,木,バナナ,50100,387647,145
2021,1,7,木,パイナップル,50300,74560,139
2021,1,7,木,レモン,50400,27870,306
2021,1,7,木,オレンジ,50600,66270,160
2021,1,7,木,輸入キウイ,50800,32675,449
2021,1,7,木,輸入メロン,50850,3445,247
2021,1,8,金,みかん,40100,1516808,240
2021,1,8,金,はっさく,41321,34115,216
2021,1,8,金,りんご計,42000,602875,307
2021,1,8,金,日本なし計,43000,1600,359
2021,1,8,金,かき計,43500,20533,459
2021,1,8,金,ぶどう計,45000,9711,1923
2021,1,8,金,いちご,46100,284181,1488
2021,1,8,金,メロン計,47000,33486,918
2021,1,8,金,すいか,48100,6125,352
2021,1,8,金,キウイフルツ,49300,38018,527
2021,1,8,金,バナナ,50100,636779,137
2021,1,8,金,パイナップル,50300,83777,147
2021,1,8,金,レモン,50400,26668,334
2021,1,8,金,オレンジ,50600,33990,235
2021,1,8,金,輸入キウイ,50800,23247,524
2021,1,8,金,輸入メロン,50850,2617,280
2021,1,9,土,みかん,40100,1469541,235
2021,1,9,土,はっさく,41321,47895,213
2021,1,9,土,りんご計,42000,794169,306
2021,1,9,土,日本なし計,43000,3155,343
2021,1,9,土,かき計,43500,55790,451
2021,1,9,土,ぶどう計,45000,16198,1744
2021,1,9,土,いちご,46100,299593,1480
2021,1,9,土,メロン計,47000,33781,903
2021,1,9,土,すいか,48100,6807,321
2021,1,9,土,キウイフルツ,49300,37078,571
2021,1,9,土,バナナ,50100,432431,143
2021,1,9,土,パイナップル,50300,80190,125
2021,1,9,土,レモン,50400,37329,314
2021,1,9,土,オレンジ,50600,31335,231
2021,1,9,土,輸入おうとう,50700,45,2160
2021,1,9,土,輸入キウイ,50800,34990,430
2021,1,9,土,輸入メロン,50850,3617,257
2021,1,11,月,みかん,40100,7790,321
2021,1,11,月,りんご計,42000,1560,337
2021,1,11,月,いちご,46100,730,1494
2021,1,11,月,すいか,48100,158,238
2021,1,11,月,キウイフルツ,49300,110,675
2021,1,11,月,バナナ,50100,7039,216
2021,1,11,月,パイナップル,50300,370,234
2021,1,11,月,レモン,50400,623,473
2021,1,11,月,オレンジ,50600,1122,284
2021,1,11,月,輸入キウイ,50800,584,601
2021,1,11,月,輸入メロン,50850,182,379
2021,1,12,火,みかん,40100,1650506,239
2021,1,12,火,はっさく,41321,126969,210
2021,1,12,火,りんご計,42000,896905,308
2021,1,12,火,日本なし計,43000,1750,471
2021,1,12,火,かき計,43500,60600,455
2021,1,12,火,ぶどう計,45000,13884,1800
2021,1,12,火,いちご,46100,561819,1472
2021,1,12,火,メロン計,47000,52470,807
2021,1,12,火,すいか,48100,10175,285
2021,1,12,火,キウイフルツ,49300,95755,545
2021,1,12,火,バナナ,50100,742456,145
2021,1,12,火,パイナップル,50300,78760,154
2021,1,12,火,レモン,50400,23446,324
2021,1,12,火,オレンジ,50600,29752,238
2021,1,12,火,輸入キウイ,50800,38640,472
2021,1,12,火,輸入メロン,50850,5384,233
2021,1,13,水,みかん,40100,641732,246
2021,1,13,水,はっさく,41321,48847,199
2021,1,13,水,りんご計,42000,398283,313
2021,1,13,水,かき計,43500,38519,441
2021,1,13,水,ぶどう計,45000,10329,1890
2021,1,13,水,いちご,46100,211022,1461
2021,1,13,水,メロン計,47000,31699,820
2021,1,13,水,すいか,48100,6520,297
2021,1,13,水,キウイフルツ,49300,15913,611
2021,1,13,水,バナナ,50100,176104,147
2021,1,13,水,パイナップル,50300,45652,120
2021,1,13,水,レモン,50400,11433,332
2021,1,13,水,オレンジ,50600,25862,220
2021,1,13,水,輸入おうとう,50700,45,2160
2021,1,13,水,輸入キウイ,50800,16165,464
2021,1,13,水,輸入メロン,50850,651,215
2021,1,14,木,みかん,40100,1418314,242
2021,1,14,木,はっさく,41321,51296,208
2021,1,14,木,りんご計,42000,703015,310
2021,1,14,木,かき計,43500,45878,450
2021,1,14,木,ぶどう計,45000,11779,1776
2021,1,14,木,いちご,46100,269808,1528
2021,1,14,木,メロン計,47000,34397,766
2021,1,14,木,すいか,48100,8575,308
2021,1,14,木,キウイフルツ,49300,105770,560
2021,1,14,木,バナナ,50100,449257,149
2021,1,14,木,パイナップル,50300,74801,152
2021,1,14,木,レモン,50400,24463,315
2021,1,14,木,オレンジ,50600,20525,228
2021,1,14,木,輸入キウイ,50800,22261,469
2021,1,14,木,輸入メロン,50850,2392,277
2021,1,15,金,みかん,40100,1362268,235
2021,1,15,金,はっさく,41321,70787,210
2021,1,15,金,りんご計,42000,711716,306
2021,1,15,金,かき計,43500,19537,445
2021,1,15,金,ぶどう計,45000,13843,1922
2021,1,15,金,いちご,46100,222136,1515
2021,1,15,金,メロン計,47000,30733,726
2021,1,15,金,すいか,48100,8490,338
2021,1,15,金,キウイフルツ,49300,70126,546
2021,1,15,金,バナナ,50100,535303,144
2021,1,15,金,パイナップル,50300,95986,145
2021,1,15,金,レモン,50400,25868,304
2021,1,15,金,オレンジ,50600,18524,232
2021,1,15,金,輸入おうとう,50700,110,584
2021,1,15,金,輸入キウイ,50800,22697,522
2021,1,15,金,輸入メロン,50850,2906,283
2021,1,16,土,みかん,40100,1564364,246
2021,1,16,土,はっさく,41321,56667,212
2021,1,16,土,りんご計,42000,800320,317
2021,1,16,土,かき計,43500,69493,448
2021,1,16,土,ぶどう計,45000,9709,1892
2021,1,16,土,いちご,46100,286720,1520
2021,1,16,土,メロン計,47000,35395,695
2021,1,16,土,すいか,48100,13238,264
2021,1,16,土,キウイフルツ,49300,68369,541
