年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,1,5,火,みかん,40100,,,1295993,249,2312.2,129.0
2021,1,5,火,はっさく,41321,,,50468,203,−,−
2021,1,5,火,りんご計,42000,,,809411,321,6645.4,93.9
2021,1,5,火,日本なし計,43000,,,1530,312,42.7,43.3
2021,1,5,火,かき計,43500,,,37985,359,4748.1,78.6
2021,1,5,火,おうとう,44800,,,19,103737,−,−
2021,1,5,火,ぶどう計,45000,,,9138,1314,443.6,79.9
2021,1,5,火,いちご,46100,,,1397086,1670,1801.5,77.1
2021,1,5,火,メロン計,47000,,,30866,1137,9269.1,96.8
2021,1,5,火,すいか,48100,,,3990,333,−,−
2021,1,5,火,キウイフルツ,49300,,,10679,540,512.2,79.5
2021,1,5,火,バナナ,50100,,,763871,162,273.4,100.0
2021,1,5,火,パイナップル,50300,,,135719,152,279.7,95.0
2021,1,5,火,レモン,50400,,,39111,344,142.0,97.2
2021,1,5,火,オレンジ,50600,,,31811,242,90.1,113.1
2021,1,5,火,輸入キウイ,50800,,,36672,514,180.5,103.6
2021,1,5,火,輸入メロン,50850,,,2835,258,60.4,92.1
2021,1,6,水,みかん,40100,,,253453,220,19.6,88.4
2021,1,6,水,はっさく,41321,,,640,211,1.3,103.9
2021,1,6,水,りんご計,42000,,,216881,317,26.8,98.8
2021,1,6,水,日本なし計,43000,,,3490,416,228.1,133.3
2021,1,6,水,かき計,43500,,,31165,404,82.0,112.5
2021,1,6,水,おうとう,44800,,,0,…,…,…
2021,1,6,水,ぶどう計,45000,,,1706,1261,18.7,96.0
2021,1,6,水,いちご,46100,,,134232,1583,9.6,94.8
2021,1,6,水,メロン計,47000,,,15704,1087,50.9,95.6
2021,1,6,水,すいか,48100,,,2338,463,58.6,139.0
2021,1,6,水,キウイフルツ,49300,,,10439,561,97.8,103.9
2021,1,6,水,バナナ,50100,,,295433,146,38.7,90.1
2021,1,6,水,パイナップル,50300,,,51684,152,38.1,100.0
2021,1,6,水,レモン,50400,,,18093,327,46.3,95.1
2021,1,6,水,オレンジ,50600,,,17386,240,54.7,99.2
2021,1,6,水,輸入キウイ,50800,,,16786,438,45.8,85.2
2021,1,6,水,輸入メロン,50850,,,5437,256,191.8,99.2
2021,1,7,木,みかん,40100,,,1498570,245,591.3,111.4
2021,1,7,木,はっさく,41321,,,49497,226,7733.9,107.1
2021,1,7,木,りんご計,42000,,,748666,306,345.2,96.5
2021,1,7,木,日本なし計,43000,,,180,413,5.2,99.3
2021,1,7,木,かき計,43500,,,46884,423,150.4,104.7
2021,1,7,木,ぶどう計,45000,,,12568,1978,736.7,156.9
2021,1,7,木,いちご,46100,,,433760,1463,323.1,92.4
2021,1,7,木,メロン計,47000,,,26185,1072,166.7,98.6
2021,1,7,木,すいか,48100,,,9241,306,395.3,66.1
2021,1,7,木,キウイフルツ,49300,,,11400,559,109.2,99.6
2021,1,7,木,バナナ,50100,,,387647,145,131.2,99.3
2021,1,7,木,パイナップル,50300,,,74560,139,144.3,91.4
2021,1,7,木,レモン,50400,,,27870,306,154.0,93.6
2021,1,7,木,オレンジ,50600,,,66270,160,381.2,66.7
2021,1,7,木,輸入キウイ,50800,,,32675,449,194.7,102.5
2021,1,7,木,輸入メロン,50850,,,3445,247,63.4,96.5
2021,1,8,金,みかん,40100,,,1516808,240,101.2,98.0
2021,1,8,金,はっさく,41321,,,34115,216,68.9,95.6
2021,1,8,金,りんご計,42000,,,602875,307,80.5,100.3
2021,1,8,金,日本なし計,43000,,,1600,359,888.9,86.9
2021,1,8,金,かき計,43500,,,20533,459,43.8,108.5
2021,1,8,金,ぶどう計,45000,,,9711,1923,77.3,97.2
2021,1,8,金,いちご,46100,,,284181,1488,65.5,101.7
2021,1,8,金,メロン計,47000,,,33486,918,127.9,85.6
2021,1,8,金,すいか,48100,,,6125,352,66.3,115.0
2021,1,8,金,キウイフルツ,49300,,,38018,527,333.5,94.3
2021,1,8,金,バナナ,50100,,,636779,137,164.3,94.5
2021,1,8,金,パイナップル,50300,,,83777,147,112.4,105.8
2021,1,8,金,レモン,50400,,,26668,334,95.7,109.2
2021,1,8,金,オレンジ,50600,,,33990,235,51.3,146.9
2021,1,8,金,輸入キウイ,50800,,,23247,524,71.1,116.7
2021,1,8,金,輸入メロン,50850,,,2617,280,76.0,113.4
2021,1,9,土,みかん,40100,,,1469541,235,96.9,97.9
2021,1,9,土,はっさく,41321,,,47895,213,140.4,98.6
2021,1,9,土,りんご計,42000,,,794169,306,131.7,99.7
2021,1,9,土,日本なし計,43000,,,3155,343,197.2,95.5
2021,1,9,土,かき計,43500,,,55790,451,271.7,98.3
2021,1,9,土,ぶどう計,45000,,,16198,1744,166.8,90.7
2021,1,9,土,いちご,46100,,,299593,1480,105.4,99.5
2021,1,9,土,メロン計,47000,,,33781,903,100.9,98.4
2021,1,9,土,すいか,48100,,,6807,321,111.1,91.2
2021,1,9,土,キウイフルツ,49300,,,37078,571,97.5,108.3
2021,1,9,土,バナナ,50100,,,432431,143,67.9,104.4
2021,1,9,土,パイナップル,50300,,,80190,125,95.7,85.0
2021,1,9,土,レモン,50400,,,37329,314,140.0,94.0
2021,1,9,土,オレンジ,50600,,,31335,231,92.2,98.3
2021,1,9,土,輸入おうとう,50700,,,45,2160,−,−
2021,1,9,土,輸入キウイ,50800,,,34990,430,150.5,82.1
2021,1,9,土,輸入メロン,50850,,,3617,257,138.2,91.8
2021,1,11,月,みかん,40100,,,7790,321,0.5,133.8
2021,1,11,月,りんご計,42000,,,1560,337,0.3,109.8
2021,1,11,月,いちご,46100,,,730,1494,0.3,100.4
2021,1,11,月,すいか,48100,,,158,238,2.6,67.6
2021,1,11,月,キウイフルツ,49300,,,110,675,0.3,128.1
2021,1,11,月,バナナ,50100,,,7039,216,1.1,157.7
2021,1,11,月,パイナップル,50300,,,370,234,0.4,155.0
2021,1,11,月,レモン,50400,,,623,473,2.3,141.6
2021,1,11,月,オレンジ,50600,,,1122,284,3.3,120.9
2021,1,11,月,輸入キウイ,50800,,,584,601,2.5,114.7
2021,1,11,月,輸入メロン,50850,,,182,379,7.0,135.4
2021,1,12,火,みかん,40100,,,1650506,239,******,74.5
2021,1,12,火,はっさく,41321,,,126969,210,−,−
2021,1,12,火,りんご計,42000,,,896905,308,******,91.4
2021,1,12,火,日本なし計,43000,,,1750,471,−,−
2021,1,12,火,かき計,43500,,,60600,455,−,−
2021,1,12,火,ぶどう計,45000,,,13884,1800,−,−
2021,1,12,火,いちご,46100,,,561819,1472,******,98.5
2021,1,12,火,メロン計,47000,,,52470,807,−,−
2021,1,12,火,すいか,48100,,,10175,285,6439.9,119.7
2021,1,12,火,キウイフルツ,49300,,,95755,545,******,80.7
2021,1,12,火,バナナ,50100,,,742456,145,******,67.1
2021,1,12,火,パイナップル,50300,,,78760,154,******,65.8
2021,1,12,火,レモン,50400,,,23446,324,3763.4,68.5
2021,1,12,火,オレンジ,50600,,,29752,238,2651.7,83.8
2021,1,12,火,輸入キウイ,50800,,,38640,472,6616.4,78.5
2021,1,12,火,輸入メロン,50850,,,5384,233,2958.2,61.5
2021,1,13,水,みかん,40100,,,641732,246,38.9,102.9
2021,1,13,水,はっさく,41321,,,48847,199,38.5,94.8
2021,1,13,水,りんご計,42000,,,398283,313,44.4,101.6
2021,1,13,水,かき計,43500,,,38519,441,63.6,96.9
2021,1,13,水,ぶどう計,45000,,,10329,1890,74.4,105.0
2021,1,13,水,いちご,46100,,,211022,1461,37.6,99.3
2021,1,13,水,メロン計,47000,,,31699,820,60.4,101.6
2021,1,13,水,すいか,48100,,,6520,297,64.1,104.2
2021,1,13,水,キウイフルツ,49300,,,15913,611,16.6,112.1
2021,1,13,水,バナナ,50100,,,176104,147,23.7,101.4
2021,1,13,水,パイナップル,50300,,,45652,120,58.0,77.9
2021,1,13,水,レモン,50400,,,11433,332,48.8,102.5
2021,1,13,水,オレンジ,50600,,,25862,220,86.9,92.4
2021,1,13,水,輸入おうとう,50700,,,45,2160,−,−
2021,1,13,水,輸入キウイ,50800,,,16165,464,41.8,98.3
2021,1,13,水,輸入メロン,50850,,,651,215,12.1,92.3
2021,1,14,木,みかん,40100,,,1418314,242,221.0,98.4
2021,1,14,木,はっさく,41321,,,51296,208,105.0,104.5
2021,1,14,木,りんご計,42000,,,703015,310,176.5,99.0
2021,1,14,木,かき計,43500,,,45878,450,119.1,102.0
2021,1,14,木,ぶどう計,45000,,,11779,1776,114.0,94.0
2021,1,14,木,いちご,46100,,,269808,1528,127.9,104.6
2021,1,14,木,メロン計,47000,,,34397,766,108.5,93.4
2021,1,14,木,すいか,48100,,,8575,308,131.5,103.7
2021,1,14,木,キウイフルツ,49300,,,105770,560,664.7,91.7
2021,1,14,木,バナナ,50100,,,449257,149,255.1,101.4
2021,1,14,木,パイナップル,50300,,,74801,152,163.9,126.7
2021,1,14,木,レモン,50400,,,24463,315,214.0,94.9
2021,1,14,木,オレンジ,50600,,,20525,228,79.4,103.6
2021,1,14,木,輸入キウイ,50800,,,22261,469,137.7,101.1
2021,1,14,木,輸入メロン,50850,,,2392,277,367.4,128.8
2021,1,15,金,みかん,40100,,,1362268,235,96.0,97.1
2021,1,15,金,はっさく,41321,,,70787,210,138.0,101.0
2021,1,15,金,りんご計,42000,,,711716,306,101.2,98.7
2021,1,15,金,かき計,43500,,,19537,445,42.6,98.9
2021,1,15,金,ぶどう計,45000,,,13843,1922,117.5,108.2
2021,1,15,金,いちご,46100,,,222136,1515,82.3,99.1
2021,1,15,金,メロン計,47000,,,30733,726,89.3,94.8
2021,1,15,金,すいか,48100,,,8490,338,99.0,109.7
2021,1,15,金,キウイフルツ,49300,,,70126,546,66.3,97.5
2021,1,15,金,バナナ,50100,,,535303,144,119.2,96.6
2021,1,15,金,パイナップル,50300,,,95986,145,128.3,95.4
2021,1,15,金,レモン,50400,,,25868,304,105.7,96.5
2021,1,15,金,オレンジ,50600,,,18524,232,90.3,101.8
2021,1,15,金,輸入おうとう,50700,,,110,584,−,−
2021,1,15,金,輸入キウイ,50800,,,22697,522,102.0,111.3
2021,1,15,金,輸入メロン,50850,,,2906,283,121.5,102.2
2021,1,16,土,みかん,40100,,,1564364,246,114.8,104.7
2021,1,16,土,はっさく,41321,,,56667,212,80.1,101.0
2021,1,16,土,りんご計,42000,,,800320,317,112.4,103.6
2021,1,16,土,かき計,43500,,,69493,448,355.7,100.7
2021,1,16,土,ぶどう計,45000,,,9709,1892,70.1,98.4
2021,1,16,土,いちご,46100,,,286720,1520,129.1,100.3
2021,1,16,土,メロン計,47000,,,35395,695,115.2,95.7
2021,1,16,土,すいか,48100,,,13238,264,155.9,78.1
2021,1,16,土,キウイフルツ,49300,,,68369,541,97.5,99.1
2021,1,16,土,バナナ,50100,,,350305,145,65.4,100.7
2021,1,16,土,パイナップル,50300,,,64674,144,67.4,99.3
2021,1,16,土,レモン,50400,,,24412,312,94.4,102.6
2021,1,16,土,オレンジ,50600,,,43417,216,234.4,93.1
2021,1,16,土,輸入キウイ,50800,,,33451,417,147.4,79.9
2021,1,16,土,輸入メロン,50850,,,3625,266,124.7,94.0
2021,1,18,月,みかん,40100,,,1395181,244,89.2,99.2
2021,1,18,月,はっさく,41321,,,123902,206,218.6,97.2
2021,1,18,月,りんご計,42000,,,851482,297,106.4,93.7
2021,1,18,月,日本なし計,43000,,,5620,384,−,−
2021,1,18,月,かき計,43500,,,19795,428,28.5,95.5
2021,1,18,月,ぶどう計,45000,,,10264,2118,105.7,111.9
2021,1,18,月,いちご,46100,,,451732,1501,157.6,98.8
2021,1,18,月,メロン計,47000,,,39176,697,110.7,100.3
2021,1,18,月,すいか,48100,,,3977,316,30.0,119.7
2021,1,18,月,キウイフルツ,49300,,,107794,542,157.7,100.2
2021,1,18,月,バナナ,50100,,,535693,141,152.9,97.2
2021,1,18,月,パイナップル,50300,,,42448,164,65.6,113.9
2021,1,18,月,レモン,50400,,,10936,359,44.8,115.1
2021,1,18,月,オレンジ,50600,,,22746,233,52.4,107.9
2021,1,18,月,輸入キウイ,50800,,,18914,426,56.5,102.2
2021,1,18,月,輸入メロン,50850,,,3276,258,90.4,97.0
2021,1,19,火,みかん,40100,,,1318937,232,94.5,95.1
2021,1,19,火,はっさく,41321,,,60983,215,49.2,104.4
2021,1,19,火,りんご計,42000,,,680324,301,79.9,101.3
2021,1,19,火,日本なし計,43000,,,1286,539,22.9,140.4
2021,1,19,火,かき計,43500,,,53213,444,268.8,103.7
2021,1,19,火,おうとう,44800,,,4,7155,−,−
2021,1,19,火,ぶどう計,45000,,,11204,1517,109.2,71.6
2021,1,19,火,いちご,46100,,,332696,1506,73.6,100.3
2021,1,19,火,メロン計,47000,,,27357,776,69.8,111.3
2021,1,19,火,すいか,48100,,,7255,274,182.4,86.7
2021,1,19,火,キウイフルツ,49300,,,71131,561,66.0,103.5
2021,1,19,火,バナナ,50100,,,309060,160,57.7,113.5
2021,1,19,火,パイナップル,50300,,,46931,167,110.6,101.8
2021,1,19,火,レモン,50400,,,19570,309,179.0,86.1
2021,1,19,火,オレンジ,50600,,,13873,241,61.0,103.4
2021,1,19,火,輸入おうとう,50700,,,45,2160,−,−
2021,1,19,火,輸入キウイ,50800,,,14492,433,76.6,101.6
2021,1,19,火,輸入メロン,50850,,,5432,247,165.8,95.7
2021,1,21,木,みかん,40100,,,1732406,248,131.3,106.9
2021,1,21,木,はっさく,41321,,,118301,199,194.0,92.6
2021,1,21,木,りんご計,42000,,,866289,310,127.3,103.0
2021,1,21,木,日本なし計,43000,,,580,337,45.1,62.5
2021,1,21,木,かき計,43500,,,78194,434,146.9,97.7
2021,1,21,木,おうとう,44800,,,16,16639,400.0,232.6
2021,1,21,木,ぶどう計,45000,,,11324,1981,101.1,130.6
2021,1,21,木,いちご,46100,,,494565,1492,148.7,99.1
2021,1,21,木,メロン計,47000,,,54245,699,198.3,90.1
2021,1,21,木,すいか,48100,,,2590,352,35.7,128.5
2021,1,21,木,キウイフルツ,49300,,,121553,551,170.9,98.2
2021,1,21,木,バナナ,50100,,,505863,156,163.7,97.5
2021,1,21,木,パイナップル,50300,,,68351,157,145.6,94.0
2021,1,21,木,レモン,50400,,,16421,356,83.9,115.2
2021,1,21,木,オレンジ,50600,,,23366,225,168.4,93.4
2021,1,21,木,輸入おうとう,50700,,,25,2160,55.6,100.0
2021,1,21,木,輸入キウイ,50800,,,26441,423,182.5,97.7
2021,1,21,木,輸入メロン,50850,,,3820,266,70.3,107.7
2021,1,22,金,みかん,40100,,,1220972,237,70.5,95.6
2021,1,22,金,はっさく,41321,,,60566,216,51.2,108.5
2021,1,22,金,りんご計,42000,,,750917,297,86.7,95.8
2021,1,22,金,日本なし計,43000,,,215,459,37.1,136.2
2021,1,22,金,かき計,43500,,,24890,460,31.8,106.0
2021,1,22,金,ぶどう計,45000,,,9002,1071,79.5,54.1
2021,1,22,金,いちご,46100,,,298667,1481,60.4,99.3
2021,1,22,金,メロン計,47000,,,41963,708,77.4,101.3
2021,1,22,金,すいか,48100,,,10397,273,401.4,77.6
2021,1,22,金,キウイフルツ,49300,,,125418,487,103.2,88.4
2021,1,22,金,バナナ,50100,,,444802,148,87.9,94.9
2021,1,22,金,パイナップル,50300,,,76295,140,111.6,89.2
