年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,5,火,だいこん,30100,2648394,99
2021,1,5,火,かぶ,30200,159424,164
2021,1,5,火,にんじん,30300,854746,136
2021,1,5,火,ごぼう,30400,91528,374
2021,1,5,火,たけのこ,30500,716,2241
2021,1,5,火,れんこん,30600,90249,509
2021,1,5,火,はくさい,31100,3483173,48
2021,1,5,火,みずな,31300,128067,564
2021,1,5,火,こまつな,31500,252023,491
2021,1,5,火,ちんげんさい,31560,52268,312
2021,1,5,火,キャベツ,31700,2637102,99
2021,1,5,火,ほうれんそう,31800,251744,781
2021,1,5,火,ねぎ,31900,747340,613
2021,1,5,火,みつば,32500,70756,1529
2021,1,5,火,しゅんぎく,32600,101445,1412
2021,1,5,火,にら,32800,98945,1162
2021,1,5,火,アスパラガス,33100,13246,1827
2021,1,5,火,カリフラワー,33200,52757,244
2021,1,5,火,ブロッコリー,33300,624756,426
2021,1,5,火,レタス,33400,1538647,220
2021,1,5,火,きゅうり,34100,1506606,351
2021,1,5,火,かぼちゃ,34200,228722,224
2021,1,5,火,なす,34300,603012,390
2021,1,5,火,トマト,34400,1463194,306
2021,1,5,火,ミニトマト,34450,627271,441
2021,1,5,火,ピーマン,34500,318164,442
2021,1,5,火,ししとう,34600,13806,1248
2021,1,5,火,そらまめ,35400,12627,499
2021,1,5,火,えだまめ,35500,410,2186
2021,1,5,火,さといも,36300,48040,341
2021,1,5,火,たまねぎ,36610,1721918,85
2021,1,5,火,にんにく,36700,23339,740
2021,1,5,火,しょうが,37200,39384,630
2021,1,5,火,生しいたけ,38100,248513,1247
2021,1,5,火,なめこ,38300,42133,471
2021,1,5,火,えのきだけ,38400,400177,345
2021,1,5,火,しめじ,38500,200340,548
2021,1,6,水,だいこん,30100,552832,85
2021,1,6,水,かぶ,30200,43898,122
2021,1,6,水,にんじん,30300,224958,126
2021,1,6,水,ごぼう,30400,39596,339
2021,1,6,水,たけのこ,30500,89,2366
2021,1,6,水,れんこん,30600,23636,553
2021,1,6,水,はくさい,31100,706650,56
2021,1,6,水,みずな,31300,21463,548
2021,1,6,水,こまつな,31500,37855,440
