年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,1,5,火,野菜総量,30000,,,24040372,270,1294.2,109.3
2021,1,5,火,だいこん,30100,,,2648394,99,886.1,125.3
2021,1,5,火,かぶ,30200,,,159424,164,******,71.3
2021,1,5,火,にんじん,30300,,,854746,136,7068.1,86.6
2021,1,5,火,ごぼう,30400,,,91528,374,1746.1,123.4
2021,1,5,火,たけのこ,30500,,,716,2241,******,119.7
2021,1,5,火,れんこん,30600,,,90249,509,2978.5,65.8
2021,1,5,火,はくさい,31100,,,3483173,48,823.8,73.8
2021,1,5,火,みずな,31300,,,128067,564,723.8,122.6
2021,1,5,火,こまつな,31500,,,252023,491,1672.9,147.9
2021,1,5,火,その他の菜類,31550,,,7428,456,1280.7,136.9
2021,1,5,火,ちんげんさい,31560,,,52268,312,3660.2,113.0
2021,1,5,火,キャベツ,31700,,,2637102,99,1068.6,115.1
2021,1,5,火,ほうれんそう,31800,,,251744,781,1090.3,97.3
2021,1,5,火,ねぎ,31900,,,747340,613,897.7,93.9
2021,1,5,火,ふき,32300,,,6653,347,−,−
2021,1,5,火,うど,32400,,,1905,623,−,−
2021,1,5,火,みつば,32500,,,70756,1529,800.7,137.6
2021,1,5,火,しゅんぎく,32600,,,101445,1412,591.3,165.5
2021,1,5,火,にら,32800,,,98945,1162,1256.1,122.2
2021,1,5,火,セルリー,32900,,,65947,182,******,95.8
2021,1,5,火,アスパラガス,33100,,,13246,1827,5406.5,118.2
2021,1,5,火,　　うち輸入,33101,,,10374,1650,4234.3,106.7
2021,1,5,火,カリフラワー,33200,,,52757,244,7024.9,105.6
2021,1,5,火,ブロッコリー,33300,,,624756,426,1953.8,100.7
2021,1,5,火,　　うち輸入,33301,,,3450,365,115.0,134.7
2021,1,5,火,レタス,33400,,,1538647,220,933.3,124.3
2021,1,5,火,パセリ,33600,,,7090,1351,2309.4,122.6
2021,1,5,火,きゅうり,34100,,,1506606,351,1937.0,95.9
2021,1,5,火,かぼちゃ,34200,,,228722,224,7127.5,74.4
2021,1,5,火,　　うち輸入,34201,,,156130,166,******,98.2
2021,1,5,火,なす,34300,,,603012,390,1994.1,107.1
2021,1,5,火,トマト,34400,,,1463194,306,1319.0,100.0
2021,1,5,火,ミニトマト,34450,,,627271,441,1283.1,98.2
2021,1,5,火,ピーマン,34500,,,318164,442,1539.6,116.9
2021,1,5,火,ししとう,34600,,,13806,1248,******,105.7
2021,1,5,火,スイトコーン,34700,,,52,341,−,−
2021,1,5,火,さやいんげん,35100,,,33750,1073,686.3,162.8
2021,1,5,火,さやえんどう,35200,,,33624,1253,2633.0,81.0
2021,1,5,火,　　うち輸入,35201,,,1028,667,−,−
2021,1,5,火,実えんどう,35300,,,3815,694,******,73.1
2021,1,5,火,そらまめ,35400,,,12627,499,******,94.7
